**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   1.40E+09
     Initial norm_grad is   :   9.87E+02
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    1.40E+09    9.87E+02    1.00E+00    1.00E+00       0       0
     1    1.36E+09    8.78E+02    9.74E-01    1.00E+00       0       1
     2    1.08E+09    6.93E+02    7.72E-01    1.00E+00       0       2
     3    9.14E+08    3.64E+02    6.52E-01    1.00E+00       0       3
     4    8.58E+08    3.34E+02    6.12E-01    1.00E+00       0       4
     5    8.26E+08    4.61E+02    5.89E-01    1.00E+00       0       5
     6    7.86E+08    2.79E+02    5.61E-01    1.00E+00       0       6
     7    7.54E+08    2.36E+02    5.38E-01    1.00E+00       0       7
     8    7.10E+08    2.10E+02    5.07E-01    1.00E+00       0       8
     9    6.94E+08    5.12E+02    4.95E-01    1.00E+00       0       9
    10    6.64E+08    1.97E+02    4.74E-01    1.00E+00       0      10
    11    6.51E+08    1.62E+02    4.65E-01    1.00E+00       0      11
    12    6.36E+08    1.68E+02    4.54E-01    1.00E+00       0      12
    13    6.04E+08    1.87E+02    4.31E-01    1.00E+00       0      13
    14    5.86E+08    3.52E+02    4.18E-01    1.00E+00       0      14
    15    5.63E+08    1.74E+02    4.02E-01    1.00E+00       0      15
    16    5.49E+08    1.49E+02    3.91E-01    1.00E+00       0      16
    17    5.37E+08    1.89E+02    3.83E-01    1.00E+00       0      17
    18    5.30E+08    2.38E+02    3.78E-01    1.00E+00       0      18
