**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   6.94E+07
     Initial norm_grad is   :   2.09E+02
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    6.94E+07    2.09E+02    1.00E+00    1.00E+00       0       0
     1    3.52E+07    3.36E+02    5.08E-01    5.50E+01       3       4
     2    1.93E+07    1.79E+02    2.78E-01    8.59E-01       6      11
     3    1.02E+07    1.18E+02    1.47E-01    8.59E-01       0      12
     4    6.23E+06    1.63E+02    8.98E-02    8.59E-01       0      13
     5    3.01E+06    4.99E+01    4.33E-02    8.59E-01       0      14
     6    2.24E+06    3.45E+01    3.22E-02    8.59E-01       0      15
     7    1.28E+06    2.40E+01    1.84E-02    8.59E-01       0      16
     8    7.89E+05    1.47E+01    1.14E-02    8.59E-01       0      17
     9    5.50E+05    1.17E+01    7.93E-03    8.59E-01       0      18
    10    3.61E+05    8.87E+00    5.20E-03    8.59E-01       0      19
    11    2.51E+05    6.30E+00    3.61E-03    8.59E-01       0      20
    12    2.13E+05    6.84E+00    3.07E-03    8.59E-01       0      21
    13    1.79E+05    4.23E+00    2.58E-03    8.59E-01       0      22
    14    1.47E+05    3.01E+00    2.12E-03    8.59E-01       0      23
    15    1.27E+05    2.84E+00    1.83E-03    8.59E-01       0      24
    16    1.12E+05    4.07E+00    1.61E-03    8.59E-01       0      25
    17    1.02E+05    1.89E+00    1.46E-03    8.59E-01       0      26
    18    9.59E+04    1.63E+00    1.38E-03    8.59E-01       0      27
    19    8.79E+04    1.76E+00    1.27E-03    8.59E-01       0      28
    20    7.71E+04    1.75E+00    1.11E-03    8.59E-01       0      29
    21    6.75E+04    1.61E+00    9.73E-04    8.59E-01       0      30
    22    6.47E+04    2.28E+00    9.32E-04    8.59E-01       0      31
    23    5.98E+04    1.06E+00    8.62E-04    8.59E-01       0      32
    24    5.63E+04    9.30E-01    8.11E-04    8.59E-01       0      33
    25    5.33E+04    9.65E-01    7.68E-04    8.59E-01       0      34
    26    4.88E+04    3.13E+00    7.03E-04    8.59E-01       0      35
    27    4.68E+04    1.48E+00    6.74E-04    8.59E-01       0      36
    28    4.55E+04    1.09E+00    6.55E-04    8.59E-01       0      37
    29    4.37E+04    7.25E-01    6.29E-04    8.59E-01       0      38
    30    4.19E+04    8.34E-01    6.04E-04    8.59E-01       0      39
    31    3.90E+04    9.98E-01    5.62E-04    8.59E-01       0      40
    32    3.69E+04    1.34E+00    5.32E-04    8.59E-01       0      41
    33    3.51E+04    8.84E-01    5.06E-04    8.59E-01       0      42
    34    3.29E+04    9.36E-01    4.74E-04    8.59E-01       0      43
    35    3.15E+04    1.76E+00    4.54E-04    8.59E-01       0      44
    36    2.97E+04    1.06E+00    4.28E-04    8.59E-01       0      45
    37    2.76E+04    7.86E-01    3.97E-04    8.59E-01       0      46
    38    2.65E+04    8.73E-01    3.81E-04    8.59E-01       0      47
    39    2.45E+04    1.10E+00    3.53E-04    8.59E-01       0      48
    40    2.44E+04    1.19E+00    3.51E-04    8.59E-01       0      49
    41    2.25E+04    8.38E-01    3.24E-04    8.59E-01       0      50
