**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   3.45E+08
     Initial norm_grad is   :   1.28E+03
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    3.45E+08    1.28E+03    1.00E+00    1.00E+00       0       0
     1    3.40E+08    8.60E+02    9.85E-01    5.00E-01       1       2
     2    3.35E+08    7.51E+02    9.70E-01    5.00E-01       0       3
     3    3.24E+08    6.72E+02    9.40E-01    5.00E-01       0       4
     4    3.06E+08    6.19E+02    8.87E-01    5.00E-01       0       5
     5    2.86E+08    5.93E+02    8.27E-01    5.00E-01       0       6
     6    2.67E+08    6.54E+02    7.75E-01    5.00E-01       0       7
     7    2.57E+08    5.44E+02    7.46E-01    5.00E-01       0       8
     8    2.50E+08    4.49E+02    7.25E-01    5.00E-01       0       9
     9    2.36E+08    3.95E+02    6.84E-01    5.00E-01       0      10
    10    2.20E+08    3.69E+02    6.38E-01    5.00E-01       0      11
    11    2.08E+08    3.69E+02    6.03E-01    5.00E-01       0      12
    12    2.01E+08    3.54E+02    5.82E-01    5.00E-01       0      13
    13    1.96E+08    3.14E+02    5.67E-01    5.00E-01       0      14
