**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   7.34E+07
     Initial norm_grad is   :   1.99E+02
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    7.34E+07    1.99E+02    1.00E+00    1.00E+00       0       0
     1    3.37E+07    3.28E+02    4.59E-01    5.50E+01       3       4
     2    2.32E+07    1.79E+02    3.16E-01    8.59E-01       6      11
     3    1.30E+07    1.06E+02    1.77E-01    8.59E-01       0      12
     4    6.69E+06    1.12E+02    9.12E-02    8.59E-01       0      13
     5    4.70E+06    6.09E+01    6.40E-02    8.59E-01       0      14
     6    2.67E+06    3.19E+01    3.64E-02    8.59E-01       0      15
     7    1.54E+06    2.29E+01    2.10E-02    8.59E-01       0      16
     8    8.83E+05    7.89E+00    1.20E-02    8.59E-01       0      17
     9    6.85E+05    6.81E+00    9.34E-03    8.59E-01       0      18
    10    4.31E+05    5.62E+00    5.87E-03    8.59E-01       0      19
    11    3.45E+05    8.14E+00    4.70E-03    8.59E-01       0      20
    12    3.01E+05    2.41E+00    4.10E-03    8.59E-01       0      21
    13    2.77E+05    2.01E+00    3.77E-03    8.59E-01       0      22
    14    2.35E+05    1.70E+00    3.20E-03    8.59E-01       0      23
    15    1.95E+05    1.80E+00    2.65E-03    8.59E-01       0      24
    16    1.73E+05    4.46E+00    2.36E-03    8.59E-01       0      25
    17    1.60E+05    1.25E+00    2.18E-03    8.59E-01       0      26
    18    1.55E+05    6.92E-01    2.11E-03    8.59E-01       0      27
    19    1.48E+05    7.48E-01    2.02E-03    8.59E-01       0      28
    20    1.36E+05    8.99E-01    1.85E-03    8.59E-01       0      29
    21    1.16E+05    9.96E-01    1.59E-03    8.59E-01       0      30
    22    9.83E+04    1.25E+00    1.34E-03    8.59E-01       0      31
    23    9.15E+04    6.72E-01    1.25E-03    8.59E-01       0      32
    24    8.80E+04    5.10E-01    1.20E-03    8.59E-01       0      33
    25    8.46E+04    6.25E-01    1.15E-03    8.59E-01       0      34
    26    8.17E+04    1.32E+00    1.11E-03    8.59E-01       0      35
    27    8.04E+04    7.08E-01    1.10E-03    8.59E-01       0      36
    28    7.78E+04    4.96E-01    1.06E-03    8.59E-01       0      37
    29    7.66E+04    4.45E-01    1.04E-03    8.59E-01       0      38
    30    7.30E+04    3.90E-01    9.94E-04    8.59E-01       0      39
    31    6.80E+04    4.60E-01    9.26E-04    8.59E-01       0      40
    32    6.43E+04    4.77E-01    8.76E-04    8.59E-01       0      41
    33    6.18E+04    1.03E+00    8.42E-04    8.59E-01       0      42
    34    6.08E+04    4.02E-01    8.28E-04    8.59E-01       0      43
    35    5.94E+04    3.66E-01    8.09E-04    8.59E-01       0      44
    36    5.73E+04    5.15E-01    7.80E-04    8.59E-01       0      45
    37    5.49E+04    4.93E-01    7.49E-04    8.59E-01       0      46
    38    5.18E+04    5.19E-01    7.06E-04    8.59E-01       0      47
    39    5.05E+04    3.67E-01    6.88E-04    8.59E-01       0      48
    40    4.99E+04    3.04E-01    6.81E-04    8.59E-01       0      49
    41    4.82E+04    2.68E-01    6.57E-04    8.59E-01       0      50
    42    4.62E+04    3.95E-01    6.29E-04    8.59E-01       0      51
    43    4.41E+04    7.46E-01    6.01E-04    8.59E-01       0      52
    44    4.35E+04    4.48E-01    5.92E-04    8.59E-01       0      53
    45    4.24E+04    3.42E-01    5.78E-04    8.59E-01       0      54
    46    4.14E+04    4.07E-01    5.64E-04    8.59E-01       0      55
    47    4.00E+04    4.57E-01    5.46E-04    8.59E-01       0      56
    48    3.82E+04    9.31E-01    5.21E-04    8.59E-01       0      57
    49    3.74E+04    6.32E-01    5.10E-04    8.59E-01       0      58
    50    3.68E+04    4.41E-01    5.01E-04    8.59E-01       0      59
**********************************************************************
     STOP: MAXIMUM NUMBER OF ITERATION REACHED    
**********************************************************************
