**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   1.67E+08
     Initial norm_grad is   :   9.53E+02
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    1.67E+08    9.53E+02    1.00E+00    1.00E+00       0       0
     1    8.90E+07    7.79E+02    5.35E-01    1.00E+00       0       1
     2    5.76E+07    3.48E+02    3.46E-01    1.00E+00       0       2
     3    3.51E+07    2.15E+02    2.11E-01    1.00E+00       0       3
     4    2.18E+07    1.59E+02    1.31E-01    1.00E+00       0       4
     5    1.23E+07    9.47E+01    7.36E-02    1.00E+00       0       5
     6    8.52E+06    8.75E+01    5.12E-02    1.00E+00       0       6
     7    7.59E+06    7.76E+01    4.56E-02    1.00E+00       0       7
     8    6.86E+06    4.31E+01    4.12E-02    1.00E+00       0       8
     9    6.04E+06    3.23E+01    3.63E-02    1.00E+00       0       9
    10    5.48E+06    3.11E+01    3.29E-02    1.00E+00       0      10
    11    4.71E+06    3.59E+01    2.83E-02    1.00E+00       0      11
    12    4.46E+06    2.10E+01    2.68E-02    1.00E+00       0      12
