**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   1.83E+08
     Initial norm_grad is   :   8.64E+02
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    1.83E+08    8.64E+02    1.00E+00    1.00E+00       0       0
     1    9.54E+07    5.19E+02    5.21E-01    1.00E+00       0       1
     2    6.39E+07    3.45E+02    3.49E-01    1.00E+00       0       2
     3    2.49E+07    1.52E+02    1.36E-01    1.00E+00       0       3
     4    1.67E+07    1.00E+02    9.12E-02    1.00E+00       0       4
     5    9.51E+06    6.53E+01    5.20E-02    1.00E+00       0       5
     6    9.51E+06    1.61E+02    5.19E-02    1.00E+00       0       6
     7    7.20E+06    5.01E+01    3.93E-02    1.00E+00       0       7
     8    6.42E+06    3.00E+01    3.51E-02    1.00E+00       0       8
     9    5.58E+06    3.08E+01    3.05E-02    1.00E+00       0       9
    10    4.80E+06    2.81E+01    2.62E-02    1.00E+00       0      10
    11    4.19E+06    2.48E+01    2.29E-02    1.00E+00       0      11
    12    3.94E+06    3.08E+01    2.15E-02    1.00E+00       0      12
    13    3.68E+06    1.57E+01    2.01E-02    1.00E+00       0      13
