**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   2.06E+08
     Initial norm_grad is   :   6.28E+02
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    2.06E+08    6.28E+02    1.00E+00    1.00E+00       0       0
     1    1.37E+08    3.82E+02    6.64E-01    1.00E+00       0       1
     2    6.90E+07    3.20E+02    3.35E-01    1.00E+00       0       2
     3    4.20E+07    2.26E+02    2.04E-01    1.00E+00       0       3
     4    1.68E+07    9.69E+01    8.14E-02    1.00E+00       0       4
     5    1.06E+07    7.05E+01    5.15E-02    1.00E+00       0       5
     6    7.04E+06    4.05E+01    3.42E-02    1.00E+00       0       6
     7    5.06E+06    2.98E+01    2.45E-02    1.00E+00       0       7
     8    4.41E+06    6.13E+01    2.14E-02    1.00E+00       0       8
     9    3.67E+06    1.72E+01    1.78E-02    1.00E+00       0       9
    10    3.48E+06    1.25E+01    1.69E-02    1.00E+00       0      10
    11    3.09E+06    1.16E+01    1.50E-02    1.00E+00       0      11
    12    2.69E+06    1.10E+01    1.30E-02    1.00E+00       0      12
    13    2.28E+06    1.09E+01    1.11E-02    1.00E+00       0      13
    14    2.04E+06    8.66E+00    9.90E-03    1.00E+00       0      14
    15    1.86E+06    7.15E+00    9.04E-03    1.00E+00       0      15
    16    1.62E+06    8.08E+00    7.87E-03    1.00E+00       0      16
    17    1.43E+06    9.93E+00    6.96E-03    1.00E+00       0      17
    18    1.34E+06    5.74E+00    6.53E-03    1.00E+00       0      18
    19    1.25E+06    4.68E+00    6.05E-03    1.00E+00       0      19
    20    1.18E+06    5.00E+00    5.73E-03    1.00E+00       0      20
    21    1.08E+06    4.12E+00    5.26E-03    1.00E+00       0      21
    22    1.01E+06    6.59E+00    4.92E-03    1.00E+00       0      22
    23    9.76E+05    3.85E+00    4.74E-03    1.00E+00       0      23
    24    9.40E+05    3.51E+00    4.56E-03    1.00E+00       0      24
    25    9.17E+05    3.27E+00    4.45E-03    1.00E+00       0      25
