**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   5.42E+07
     Initial norm_grad is   :   1.76E+03
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    5.42E+07    1.76E+03    1.00E+00    1.00E+00       0       0
     1    2.06E+07    7.55E+02    3.81E-01    3.12E-02       5       6
     2    1.78E+07    6.55E+02    3.29E-01    3.12E-01       1       8
     3    1.19E+07    4.55E+02    2.19E-01    3.12E-01       0       9
     4    7.96E+06    3.09E+02    1.47E-01    3.12E-01       0      10
     5    5.51E+06    2.10E+02    1.02E-01    3.12E-01       0      11
     6    3.95E+06    1.44E+02    7.30E-02    3.12E-01       0      12
     7    2.93E+06    1.01E+02    5.41E-02    3.12E-01       0      13
     8    2.22E+06    7.47E+01    4.10E-02    3.12E-01       0      14
     9    1.71E+06    5.95E+01    3.15E-02    3.12E-01       0      15
    10    1.33E+06    5.71E+01    2.45E-02    3.12E-01       0      16
    11    1.03E+06    5.52E+01    1.91E-02    3.12E-01       0      17
    12    9.27E+05    4.52E+01    1.71E-02    3.12E-01       0      18
    13    8.36E+05    3.93E+01    1.54E-02    3.12E-01       0      19
    14    7.27E+05    3.25E+01    1.34E-02    3.12E-01       0      20
    15    6.19E+05    2.61E+01    1.14E-02    3.12E-01       0      21
    16    5.29E+05    2.22E+01    9.76E-03    3.12E-01       0      22
    17    4.58E+05    2.05E+01    8.46E-03    3.12E-01       0      23
    18    4.24E+05    1.74E+01    7.82E-03    3.12E-01       0      24
    19    3.94E+05    1.63E+01    7.28E-03    3.12E-01       0      25
    20    3.64E+05    1.84E+01    6.73E-03    3.12E-01       0      26
    21    3.43E+05    1.54E+01    6.34E-03    3.12E-01       0      27
    22    3.25E+05    1.38E+01    6.01E-03    3.12E-01       0      28
    23    3.05E+05    2.37E+01    5.62E-03    3.12E-01       0      29
    24    2.94E+05    1.73E+01    5.43E-03    3.12E-01       0      30
    25    2.84E+05    1.32E+01    5.25E-03    3.12E-01       0      31
    26    2.74E+05    1.03E+01    5.05E-03    3.12E-01       0      32
    27    2.64E+05    9.32E+00    4.88E-03    3.12E-01       0      33
    28    2.56E+05    9.70E+00    4.72E-03    3.12E-01       0      34
    29    2.47E+05    9.86E+00    4.57E-03    3.12E-01       0      35
    30    2.38E+05    1.58E+01    4.40E-03    3.12E-01       0      36
