**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   8.82E+07
     Initial norm_grad is   :   1.45E+03
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    8.82E+07    1.45E+03    1.00E+00    1.00E+00       0       0
     1    4.72E+07    8.62E+02    5.35E-01    6.25E-02       4       5
     2    3.71E+07    5.90E+02    4.20E-01    6.25E-01       1       7
     3    2.43E+07    2.87E+02    2.76E-01    6.25E-01       0       8
     4    1.86E+07    1.95E+02    2.12E-01    6.25E-01       0       9
     5    1.50E+07    1.52E+02    1.70E-01    6.25E-01       0      10
     6    1.21E+07    1.17E+02    1.38E-01    6.25E-01       0      11
     7    1.01E+07    1.09E+02    1.15E-01    6.25E-01       0      12
     8    9.01E+06    6.87E+01    1.02E-01    6.25E-01       0      13
     9    8.38E+06    5.81E+01    9.50E-02    6.25E-01       0      14
