**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   2.21E+09
     Initial norm_grad is   :   6.94E+03
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    2.21E+09    6.94E+03    1.00E+00    1.00E+00       0       0
     1    1.87E+09    7.64E+03    8.48E-01    6.25E-02       4       5
     2    5.44E+08    3.60E+03    2.46E-01    6.25E-01       1       7
     3    1.92E+08    1.53E+03    8.70E-02    6.25E-01       0       8
     4    1.19E+08    1.38E+03    5.41E-02    6.25E-01       0       9
     5    9.10E+07    7.39E+02    4.12E-02    6.25E-01       0      10
     6    7.72E+07    6.73E+02    3.50E-02    6.25E-01       0      11
     7    5.65E+07    7.05E+02    2.56E-02    6.25E-01       0      12
     8    4.78E+07    1.05E+03    2.17E-02    6.25E-01       0      13
     9    4.08E+07    6.81E+02    1.85E-02    6.25E-01       0      14
    10    3.48E+07    3.80E+02    1.58E-02    6.25E-01       0      15
    11    3.17E+07    3.61E+02    1.43E-02    6.25E-01       0      16
    12    2.75E+07    3.64E+02    1.24E-02    6.25E-01       0      17
    13    2.43E+07    5.45E+02    1.10E-02    6.25E-01       0      18
    14    2.20E+07    3.55E+02    9.97E-03    6.25E-01       0      19
    15    2.04E+07    2.38E+02    9.24E-03    6.25E-01       0      20
    16    1.92E+07    2.08E+02    8.68E-03    6.25E-01       0      21
    17    1.78E+07    2.44E+02    8.07E-03    6.25E-01       0      22
    18    1.71E+07    2.83E+02    7.73E-03    6.25E-01       0      23
    19    1.66E+07    2.34E+02    7.50E-03    6.25E-01       0      24
