**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   8.82E+07
     Initial norm_grad is   :   1.46E+03
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    8.82E+07    1.46E+03    1.00E+00    1.00E+00       0       0
     1    4.72E+07    8.62E+02    5.35E-01    6.25E-02       4       5
     2    3.70E+07    5.90E+02    4.20E-01    6.25E-01       1       7
     3    2.43E+07    2.87E+02    2.76E-01    6.25E-01       0       8
     4    1.86E+07    1.95E+02    2.11E-01    6.25E-01       0       9
     5    1.50E+07    1.52E+02    1.70E-01    6.25E-01       0      10
     6    1.21E+07    1.17E+02    1.37E-01    6.25E-01       0      11
     7    1.01E+07    1.09E+02    1.15E-01    6.25E-01       0      12
     8    9.00E+06    6.87E+01    1.02E-01    6.25E-01       0      13
     9    8.37E+06    5.81E+01    9.49E-02    6.25E-01       0      14
    10    7.69E+06    5.78E+01    8.73E-02    6.25E-01       0      15
    11    6.93E+06    6.06E+01    7.86E-02    6.25E-01       0      16
    12    6.14E+06    5.04E+01    6.96E-02    6.25E-01       0      17
    13    5.26E+06    4.51E+01    5.96E-02    6.25E-01       0      18
    14    4.42E+06    5.15E+01    5.02E-02    6.25E-01       0      19
    15    3.86E+06    3.91E+01    4.37E-02    6.25E-01       0      20
    16    3.45E+06    3.60E+01    3.92E-02    6.25E-01       0      21
    17    2.98E+06    3.97E+01    3.38E-02    6.25E-01       0      22
    18    2.64E+06    3.17E+01    3.00E-02    6.25E-01       0      23
