**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   2.03E+09
     Initial norm_grad is   :   6.41E+03
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    2.03E+09    6.41E+03    1.00E+00    1.00E+00       0       0
     1    1.16E+09    5.52E+03    5.73E-01    6.25E-02       4       5
     2    4.33E+08    2.81E+03    2.14E-01    6.25E-01       1       7
     3    1.90E+08    1.23E+03    9.39E-02    6.25E-01       0       8
     4    1.34E+08    1.18E+03    6.60E-02    6.25E-01       0       9
     5    1.06E+08    7.90E+02    5.25E-02    6.25E-01       0      10
     6    9.14E+07    7.56E+02    4.51E-02    6.25E-01       0      11
     7    7.26E+07    9.13E+02    3.58E-02    6.25E-01       0      12
     8    6.07E+07    6.35E+02    2.99E-02    6.25E-01       0      13
     9    5.38E+07    5.12E+02    2.65E-02    6.25E-01       0      14
    10    4.86E+07    4.58E+02    2.40E-02    6.25E-01       0      15
    11    4.28E+07    4.76E+02    2.11E-02    6.25E-01       0      16
    12    3.85E+07    4.49E+02    1.90E-02    6.25E-01       0      17
    13    3.56E+07    3.65E+02    1.76E-02    6.25E-01       0      18
    14    3.25E+07    2.88E+02    1.60E-02    6.25E-01       0      19
    15    3.05E+07    2.81E+02    1.50E-02    6.25E-01       0      20
    16    2.88E+07    3.03E+02    1.42E-02    6.25E-01       0      21
    17    2.75E+07    2.86E+02    1.36E-02    6.25E-01       0      22
    18    2.63E+07    2.44E+02    1.30E-02    6.25E-01       0      23
    19    2.54E+07    2.15E+02    1.25E-02    6.25E-01       0      24
