**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   2.44E+09
     Initial norm_grad is   :   5.72E+03
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    2.44E+09    5.72E+03    1.00E+00    1.00E+00       0       0
     1    1.13E+09    4.46E+03    4.63E-01    6.25E-02       4       5
     2    5.86E+08    2.57E+03    2.40E-01    6.25E-01       1       7
     3    2.99E+08    1.21E+03    1.22E-01    6.25E-01       0       8
     4    2.26E+08    1.39E+03    9.26E-02    6.25E-01       0       9
     5    1.88E+08    1.01E+03    7.68E-02    6.25E-01       0      10
     6    1.60E+08    9.54E+02    6.54E-02    6.25E-01       0      11
     7    1.41E+08    1.49E+03    5.77E-02    6.25E-01       0      12
     8    1.21E+08    8.87E+02    4.94E-02    6.25E-01       0      13
     9    1.05E+08    6.43E+02    4.30E-02    6.25E-01       0      14
    10    9.54E+07    6.40E+02    3.90E-02    6.25E-01       0      15
    11    8.35E+07    7.66E+02    3.41E-02    6.25E-01       0      16
    12    7.72E+07    6.72E+02    3.16E-02    6.25E-01       0      17
    13    7.23E+07    5.35E+02    2.96E-02    6.25E-01       0      18
    14    6.63E+07    4.44E+02    2.71E-02    6.25E-01       0      19
    15    6.20E+07    4.41E+02    2.54E-02    6.25E-01       0      20
    16    5.85E+07    5.28E+02    2.39E-02    6.25E-01       0      21
    17    5.60E+07    4.35E+02    2.29E-02    6.25E-01       0      22
    18    5.35E+07    3.75E+02    2.19E-02    6.25E-01       0      23
    19    5.09E+07    3.32E+02    2.08E-02    6.25E-01       0      24
